,misc,misc_features
257,"<a href=""https://www.kathiravan.com/search/label/India?&amp;max-results=7"" rel=""tag"">India</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>div>div>span>a"", ""next_sibling"": null, ""parent_node"": ""span"", ""prev_sibling"": ""i"", ""child_nodes"": [], ""x"": 0, ""y"": 0, ""height"": 0, ""width"": 0, ""is_visible"": false, ""aria_role"": ""none"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [0, 0, 0, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
258,"<span style=""background-color: white; font-family: poppins; font-size: 18px;"">டிக்டாக்கில் அரைகுறை ஆடையுடன் ஆபாச நடனமாடி பேமஸ் ஆனவர் ரவுடி பேபி சூர்யா. தற்போது யூ-டியூப் சேனல் மூலமாக வீடியோ போடுவது, ஆபாசமாக பேசுவது, கொச்சையான வார்த்தைகளை பேசி சண்டையிடுவது என சமூக வலைத்தளத்தில் வேண்டாத வேலைகளை செய்து வருகிறார்.</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p>span"", ""next_sibling"": null, ""parent_node"": ""p"", ""prev_sibling"": null, ""child_nodes"": [], ""x"": 25.703125, ""y"": 798.75, ""height"": 74, ""width"": 698, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [255, 255, 255, 1], ""font_color"": [46, 46, 46, 1], ""font_size"": ""18px"", ""font_style"": ""normal"", ""font_family"": ""poppins""}"
259,"<p style=""background-color: white; box-sizing: border-box; font-family: poppins; font-size: 1.2em; line-height: 1.4; margin-bottom: 25px; margin-top: 0px;"">ரவுடி பேபி சூர்யா, சிக்கா மீது நடவடிக்கை எடுக்க கோரி மதுரை மாவட்ட ஆட்சியரிடம் புகார் மனு அளிக்கப்பட்டுள்ளது. இணையதளம் மூலமாக மாணவ, மாணவிகளுக்கு வகுப்புகள் நடத்தி வருகின்ற வேலையில் அவர்களை திசை திருப்பும் வகையிலும், அதனை கெடுக்கும் வகையிலும் சூர்யாவின் வீடியோ உள்ளது.</p>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p"", ""next_sibling"": ""p"", ""parent_node"": ""div"", ""prev_sibling"": ""p"", ""child_nodes"": [], ""x"": 25.703125, ""y"": 876.75, ""height"": 71, ""width"": 734, ""is_visible"": true, ""aria_role"": ""paragraph"", ""bgcolor"": [255, 255, 255, 1], ""font_color"": [46, 46, 46, 1], ""font_size"": ""16.8px"", ""font_style"": ""normal"", ""font_family"": ""poppins""}"
260,"<p style=""background-color: white; box-sizing: border-box; font-family: poppins; font-size: 1.2em; line-height: 1.4; margin-bottom: 25px; margin-top: 0px;"">அதுமட்டுமல்லாமல் பெண்களை முக சுழிக்க வைக்கும் வகையிலும், நாகரீகத்தை சீரழிக்கும் வகையில் சிக்கா என்ற சிக்கந்தர் உடன் யூடியூப் மற்றும் இணையதளத்தில் ஆபாச வீடியோக்களை வெளியிடுவதாக ரவுடி பேபி சூர்யா மீது புகார் கொடுக்கப்பட்டிருந்தது .</p>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p"", ""next_sibling"": ""p"", ""parent_node"": ""div"", ""prev_sibling"": ""p"", ""child_nodes"": [], ""x"": 25.703125, ""y"": 972.296875, ""height"": 47, ""width"": 734, ""is_visible"": true, ""aria_role"": ""paragraph"", ""bgcolor"": [255, 255, 255, 1], ""font_color"": [46, 46, 46, 1], ""font_size"": ""16.8px"", ""font_style"": ""normal"", ""font_family"": ""poppins""}"
261,"<p style=""background-color: white; box-sizing: border-box; font-family: poppins; font-size: 1.2em; line-height: 1.4; margin-bottom: 25px; margin-top: 0px;"">ரவுடி பேபி சூர்யா மற்றும் சிக்கந்தர் ஆகியோர்கள் மீது சட்ட ரீதியான நடவடிக்கை எடுக்க கோரியும், சமூகவலைத்தலங்களில் ரவுடிபேபி மற்றும் சிக்கா பேசிய அறுவருக்கதக்க வீடியோக்களை தடை செய்யவும், சூர்யா மற்றும் சிக்கா இணையதளங்களை முடக்கவும் இந்து மக்கள் கட்சி புகார் அளித்திருந்தது.</p>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p"", ""next_sibling"": ""p"", ""parent_node"": ""div"", ""prev_sibling"": ""p"", ""child_nodes"": [], ""x"": 25.703125, ""y"": 1044.328125, ""height"": 71, ""width"": 734, ""is_visible"": true, ""aria_role"": ""paragraph"", ""bgcolor"": [255, 255, 255, 1], ""font_color"": [46, 46, 46, 1], ""font_size"": ""16.8px"", ""font_style"": ""normal"", ""font_family"": ""poppins""}"
262,"<p style=""background-color: white; box-sizing: border-box; font-family: poppins; font-size: 1.2em; line-height: 1.4; margin-bottom: 25px; margin-top: 0px;"">அதுமட்டுமல்லாமல், தமிழக கலாசாரம் பண்பாட்டை சீரழிக்கும் வகையில், வியாபார நோக்கத்தோடு வேண்டுமென்று திட்டமிட்டு சமுதாய சீர்க்கேட்டை உண்டாக்கும் ரவுடி பேபி சூர்யா மற்றும் சிக்கந்தர் மீது நடவடிக்கை எடுக்க வேண்டும்.</p>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p"", ""next_sibling"": ""p"", ""parent_node"": ""div"", ""prev_sibling"": ""p"", ""child_nodes"": [], ""x"": 25.703125, ""y"": 1139.875, ""height"": 47, ""width"": 734, ""is_visible"": true, ""aria_role"": ""paragraph"", ""bgcolor"": [255, 255, 255, 1], ""font_color"": [46, 46, 46, 1], ""font_size"": ""16.8px"", ""font_style"": ""normal"", ""font_family"": ""poppins""}"
263,"<p style=""background-color: white; box-sizing: border-box; font-family: poppins; font-size: 1.2em; line-height: 1.4; margin-bottom: 25px; margin-top: 0px;"">இல்லை எனில் மதுரை உள்பட தமிழகம் முழுவதும் மிகப்பெரிய போராட்டம் விரைவில் வலுபெறும் என்பதை தெரிவித்து கொள்கிறோம் என்று இந்து மக்கள் கட்சி தெரிவித்திருந்தார்கள். இதனால் பல தரப்பிலிருந்தும் டிக் டாக் பிரபலம் சூர்யாவுக்கு எதிர்ப்பு கிளம்பியது. இந்நிலையில் ரவுடி பேபி சூர்யாவையும், சிக்காவையும் கோவை கிரைம் போலீசார் மதுரையில் வைத்து கைது செய்துள்ளதாக தகவல் வெளியாகியுள்ளது.</p>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p"", ""next_sibling"": null, ""parent_node"": ""div"", ""prev_sibling"": ""p"", ""child_nodes"": [], ""x"": 25.703125, ""y"": 1211.90625, ""height"": 94, ""width"": 734, ""is_visible"": true, ""aria_role"": ""paragraph"", ""bgcolor"": [255, 255, 255, 1], ""font_color"": [46, 46, 46, 1], ""font_size"": ""16.8px"", ""font_style"": ""normal"", ""font_family"": ""poppins""}"
264,"<a class=""read-more anchor-hover"" href=""https://www.kathiravan.com/2022/01/blog-post.html"">Read more <i class=""fa fa-chevron-right""></i></a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>a"", ""next_sibling"": ""span"", ""parent_node"": ""div"", ""prev_sibling"": null, ""child_nodes"": [""i""], ""x"": 0, ""y"": 0, ""height"": 0, ""width"": 0, ""is_visible"": false, ""aria_role"": ""none"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [0, 0, 0, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
265,"<div id=""related-posts"">
India
</div>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>div>div"", ""next_sibling"": ""div"", ""parent_node"": ""div"", ""prev_sibling"": ""div"", ""child_nodes"": []}"
266,"<span class=""post-labels"">
Tags
<a href=""https://www.kathiravan.com/search/label/India?&amp;max-results=7"" rel=""tag"">India</a>
</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>div>div>span"", ""next_sibling"": null, ""parent_node"": ""div"", ""prev_sibling"": null, ""child_nodes"": [""a""], ""x"": 0, ""y"": 0, ""height"": 0, ""width"": 0, ""is_visible"": false, ""aria_role"": ""none"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [46, 46, 46, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
267,"<a class=""blog-pager-newer-link"" href=""https://www.kathiravan.com/2022/01/blog-post_5.html"" id=""Blog1_blog-pager-newer-link"" title=""Newer Post"">Newer Post</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>span>a"", ""next_sibling"": null, ""parent_node"": ""span"", ""prev_sibling"": null, ""child_nodes"": [], ""x"": 0, ""y"": 0, ""height"": 0, ""width"": 0, ""is_visible"": false, ""aria_role"": ""none"", ""bgcolor"": [34, 34, 34, 1], ""font_color"": [255, 255, 255, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
268,"<a class=""blog-pager-older-link"" href=""https://www.kathiravan.com/2021/12/blog-post_22.html"" id=""Blog1_blog-pager-older-link"" title=""Older Post"">Older Post</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>span>a"", ""next_sibling"": null, ""parent_node"": ""span"", ""prev_sibling"": null, ""child_nodes"": [], ""x"": 0, ""y"": 0, ""height"": 0, ""width"": 0, ""is_visible"": false, ""aria_role"": ""none"", ""bgcolor"": [34, 34, 34, 1], ""font_color"": [255, 255, 255, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
